"filename", "language", "YAML", "JSON", "Markdown", "Dart", "Properties", "XML", "Gradle", "comment", "blank", "total"
"d:\Flutter\projects\chatbox\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"d:\Flutter\projects\chatbox\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\Flutter\projects\chatbox\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 33, 8, 7, 48
"d:\Flutter\projects\chatbox\android\app\google-services.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 0, 29
"d:\Flutter\projects\chatbox\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"d:\Flutter\projects\chatbox\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 34, 0, 11, 1, 46
"d:\Flutter\projects\chatbox\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\Flutter\projects\chatbox\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\Flutter\projects\chatbox\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\Flutter\projects\chatbox\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\Flutter\projects\chatbox\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"d:\Flutter\projects\chatbox\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"d:\Flutter\projects\chatbox\android\gradle.properties", "Properties", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\Flutter\projects\chatbox\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\Flutter\projects\chatbox\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 22, 2, 5, 29
"d:\Flutter\projects\chatbox\assets\svgs\AccountSettings.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Flutter\projects\chatbox\assets\svgs\Attachment.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Flutter\projects\chatbox\assets\svgs\Call.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Flutter\projects\chatbox\assets\svgs\Logo.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\Flutter\projects\chatbox\assets\svgs\Notifications.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Flutter\projects\chatbox\assets\svgs\Search.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Flutter\projects\chatbox\assets\svgs\Send.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Flutter\projects\chatbox\assets\svgs\addIcon.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Flutter\projects\chatbox\assets\svgs\add_chat.svg", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"d:\Flutter\projects\chatbox\assets\svgs\add_group.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"d:\Flutter\projects\chatbox\assets\svgs\alarmIcon.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Flutter\projects\chatbox\assets\svgs\backArrow.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Flutter\projects\chatbox\assets\svgs\call-user.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Flutter\projects\chatbox\assets\svgs\camera.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Flutter\projects\chatbox\assets\svgs\changeProfile.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Flutter\projects\chatbox\assets\svgs\chats.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Flutter\projects\chatbox\assets\svgs\check.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\Flutter\projects\chatbox\assets\svgs\clarity_check-circle-line.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"d:\Flutter\projects\chatbox\assets\svgs\copy.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 1, 5, 12
"d:\Flutter\projects\chatbox\assets\svgs\correctIcon.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Flutter\projects\chatbox\assets\svgs\correctIconSec.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Flutter\projects\chatbox\assets\svgs\courses.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Flutter\projects\chatbox\assets\svgs\edit-photo.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 1, 5, 12
"d:\Flutter\projects\chatbox\assets\svgs\edit.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\Flutter\projects\chatbox\assets\svgs\events.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\Flutter\projects\chatbox\assets\svgs\files.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Flutter\projects\chatbox\assets\svgs\gmail.svg", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
